pmid,title,abstract,category,tags,technology,biological_topic,confidence,has_new_data,has_code
41451540,CELLetter: leveraging large language model and dual-stream network to identify context-specific ligand-receptor interactions for cell-cell communication analysis.,"Cell-to-cell communication (CCC) facilitates the coordination of various cellular behaviors in multicellular organisms. Many computational methods neglect downstream intracellular signaling and are limited by static and predefined ligand-receptor (L-R) databases. To address these limitations, we present CELLetter, a deep learning framework to identify potential L-R interactions through a novel feature learning model and decipher cellular signaling by integrating L-R co-expression with downstream",Technology,Cell-Cell Communication; Benchmarking & Evaluation; Spatial Co-Expression,,Cancer,high,False,True
41265636,Multi-omics analysis identifies S100a10/Anxa2 complex within proximal tubule aggravates acute kidney injury through p-Stat3/Spp1 signaling.,"Acute kidney injury (AKI) has become a global public health problem that seriously endangers human health, the treatment for AKI is mainly supportive and there is no targeted, efficient and low-toxicity treatment. Multi-omics including bulk RNA-seq, scRNA-seq, spatial transcriptomics were used to find the high differential expressed genes between con and AKI. While S100a10 was consistently found to be significantly increased in renal tubular epithelial cells after cisplatin and IRI induced AKI c",Research,Multi-Omics Integration,,Kidney & Nephrology,medium,True,False
41475272,SPP1-CD44 signaling contributes to the mechanisms and therapeutic implications in intervertebral disc degeneration.,"Intervertebral disc degeneration (IVDD) is a major pathological cause of chronic back pain and reduced mobility. Among emerging molecular regulators, the SPP1-CD44 axis has attracted growing interest for its critical role in immune modulation, cellular migration, and extracellular matrix (ECM) remodeling. SPP1 interacts with CD44 and integrins to regulate immune cell polarization, cytokine secretion, and ECM degradation, ultimately contributing to inflammation, endplate calcification, and disc c",Review,Cell-Cell Communication; Niche & Microenvironment; Spatially Variable Genes; Multi-Omics Integration,,Musculoskeletal,high,False,False
41843898,TUSCAN: Tumor segmentation and classification analysis in spatial transcriptomics.,"The identification of tumor cells is pivotal for understanding tumor heterogeneity and the tumor microenvironment. Recent advances in spatially resolved transcriptomics (SRT) have revolutionized the way that transcriptomic profiles are characterized and have enabled the simultaneous quantification of transcript locations in intact tissue samples. SRT is a promising alternative method to study gene expression patterns in spatial domains. Nevertheless, the precise detection of tumor regions within",Research,Spatial Domain Identification; Benchmarking & Evaluation,,Cancer,high,False,False
36928764,A single-cell transcriptome atlas profiles early organogenesis in human embryos.,"The early window of human embryogenesis is largely a black box for developmental biologists. Here we probed the cellular diversity of 4-6 week human embryos when essentially all organs are just laid out. On the basis of over 180,000 single-cell transcriptomes, we generated a comprehensive atlas of 313 clusters in 18 developmental systems, which were annotated with a collection of ontology and markers from 157 publications. Together with spatial transcriptome on embryonic sections, we characteriz",Research,Spatial Integration,,Developmental Biology,medium,True,False
41028408,ERO1A-positive tumor epithelial cells in colorectal cancer progression: a multi-omics perspective.,"Colorectal cancer (CRC) remains a leading cause of cancer-related morbidity and mortality worldwide. Tumor epithelial cells play a crucial role in shaping the tumor microenvironment (TME) and driving cancer progression. This study utilized a multi-omics approach, integrating data from 21 multi-center CRC cohorts (n = 2,767), including single-cell transcriptomics, bulk transcriptomics, spatial transcriptomics, and proteomics. Bioinformatic analyses were combined with in vitro and in vivo experime",Research,Cell-Cell Communication; Cell-Type Deconvolution; Multi-Omics Integration,,Cancer,medium,True,False
41073785,Single-cell multi-omic and spatial profiling of esophageal squamous cell carcinoma reveals the immunosuppressive role of GPR116<sup>+</sup> pericytes in cancer metastasis.,"Tumor metastasis leads to most cancer deaths. However, how cellular diversity and dynamic cooperation within the tumor microenvironment contribute to metastasis remains poorly understood. Here we leverage single-cell multi-omics (16 samples, 117,169 cells) and spatial transcriptomics (five samples, 195,366 cells) to uncover the cellular and spatial architecture of esophageal squamous cell carcinoma (ESCC), and characterize an immunosuppressive GPR116<sup>+</sup> pericyte subset promoting tumor m",Research,Cell-Cell Communication; Spatial Domain Identification; Multi-Omics Integration,,Cancer,high,True,False
31718172,APEX Proximity Labeling as a Versatile Tool for Biological Research.,"Most proteins are specifically localized in membrane-encapsulated organelles or non-membrane-bound compartments. The subcellular localization of proteins facilitates their functions and integration into functional networks; therefore, protein localization is tightly regulated in diverse biological contexts. However, protein localization has been mainly analyzed through immunohistochemistry or the fractionation of subcellular compartments, each of which has major drawbacks. Immunohistochemistry c",Review,,,,medium,False,False
36465633,A spatiotemporal steroidogenic regulatory network in human fetal adrenal glands and gonads.,"Human fetal adrenal glands produce substantial amounts of dehydroepiandrosterone (DHEA), which is one of the most important precursors of sex hormones. However, the underlying biological mechanism remains largely unknown. Herein, we sequenced human fetal adrenal glands and gonads from 7 to 14 gestational weeks (GW) <i>via</i> 10× Genomics single-cell transcriptome techniques, reconstructed their location information by spatial transcriptomics. Relative to gonads, adrenal glands begin to synthesi",Research,,Visium,Developmental Biology,medium,True,False
40279436,Adipose-derived leptin and complement factor D mediate osteoarthritis severity and pain.,"Obesity is a risk factor for osteoarthritis (OA), and leptin is among the adipokines implicated in obesity-induced OA. However, the specific role of leptin in OA severity and pain is not known. Using lipodystrophic (LD) mice, we show that fat-secreted factors are required for knee OA development, implicating a fat-cartilage cross-talk. Fat pad implantation or systemic leptin restoration in LD mice reintroduced structural OA and pain, whereas implantation of leptin-deficient fat pad did not chang",Research,Cell-Cell Communication; Multi-Omics Integration; Niche & Microenvironment,,Musculoskeletal,medium,True,False
41323651,A practical protocol of processing mineralized tissue for Visium spatial transcriptomics.,"Spatial transcriptomics analysis of mineralized tissues faces significant challenges due to lengthy decalcification procedures that severely compromise RNA integrity and subsequent gene detection. This protocol details an optimized workflow to process bone and fracture callus samples for 10x Genomics Visium spatial transcriptomics. The key innovation involves replacing conventional EDTA decalcification with Morse's solution, enabling rapid decalcification (<24 ​h) while preserving RNA quality, a",Protocol,,Visium,Musculoskeletal,high,True,False
38464011,General Capillary Endothelial Cells Undergo Reprogramming into Arterial Endothelial Cells in Pulmonary Hypertension through HIF-2α/Notch4 Pathway.,"Pulmonary arterial hypertension (PAH) is characterized by a progressive increase of pulmonary vascular resistance and obliterative pulmonary vascular remodeling that result in right heart hypertrophy, failure, and premature death. The underlying mechanisms of loss of distal capillary endothelial cells (ECs) and obliterative vascular lesion formation remain unclear. Our recent single-cell RNA sequencing, spatial transcriptomics analysis, RNASCOPE, and immunostaining analysis showed that arterial ",Research,,,Lung & Respiratory,medium,True,False
40534868,Integrated transcriptomics and machine learning reveal REN as a dual regulator of tumor stemness and NK cell evasion in Wilms tumor progression.,"Wilms tumor (WT) is the most common pediatric kidney cancer, which presents significant therapeutic challenges, particularly in high-risk cases, due to chemotherapy resistance and immunosuppressive tumor microenvironments (TMEs). Tumor stemness and immune evasion mechanisms are implicated in poor clinical outcomes, yet the molecular drivers underpinning these processes remain inadequately understood. We employed an integrative approach combining single-cell RNA sequencing (scRNA-seq), spatial tr",Research,Cell-Cell Communication; Niche & Microenvironment,,Cancer,high,True,False
41779089,Topological Data Analysis for Unsupervised Feature Selection in Large Scale Spatial Omics Data Sets.,"Spatial transcriptomics studies are becoming increasingly large and commonplace, necessitating simultaneous analysis of a large number of spatially resolved variables. Correspondingly, a diverse range of methodologies have been proposed to compare the spatial expression structure of genes. Here, we apply persistent homology, a method from topological data analysis, to produce a continuous quantification of spatial structure in a given gene's expression, and show how this can be used for downstre",Technology,Spatially Variable Genes,,Kidney & Nephrology,high,False,False
30074319,"Application of fluorescence in situ hybridization (FISH) as a tool to aid cytogenetics in 1,409 fetal samples.","To evaluate the technical application of fluorescence in situ hybridization (FISH) as a support to classical cytogenetic in numerical chromosomal aneuploidies studies in samples of amniotic fluid, chorionic villus, and fetal loss. The authois performed cytogenetic analyses in 1,409 patients (678 amniocentesis, 512 chorionic villus samples, and 219 spontaneous abortions) during one year. FISH molecular study aided traditional cytogenetic in 90 cases. These cases were indicated based on the diagno",Research,,,,low,True,False
41997362,Microbial Monotherapy With Leuconostoc sp LB-P8 Improves Inflammation and Fibrosis in Mouse Primary Sclerosing Cholangitis by Inhibiting Transforming Growth Factor β1/SMAD Signaling.,"Primary sclerosing cholangitis (PSC) is a prototypical disease with an impaired gut-liver axis, frequently associated with inflammatory bowel disease, and linked to microbial dysbiosis. However, how microbes influence PSC progression remains unclear. We identified a novel L sp. (LB-P8) with potential anti-fibrotic properties via inhibition of transforming growth factor beta-1 (TGF-β)/SMAD signaling and investigated its therapeutic efficacy and mechanisms in mouse PSC models. Human intestinal cel",Research,Niche & Microenvironment; Image-Based Analysis,GeoMx,Liver & Hepatology,high,True,False
41667720,Attention-guided enhanced deconvolution enables reference-free cell type estimation in spatial transcriptomics.,"Spatial transcriptomics technologies profile gene expression across tissue sections while retaining spatial information, yet most platforms capture signals from multiple cells per measurement location, requiring computational methods to determine the underlying cellular composition. Current deconvolution approaches either depend on single-cell reference atlases-which may be unavailable for rare tissues or specific disease contexts-or employ unsupervised methods that struggle with complex spatial",Technology,Cell-Type Deconvolution; Spatial Domain Identification,,,medium,False,True
39127090,Polymicrobial consortia in the pathogenesis of biofilm vaginosis visualized by FISH. Historic review outlining the basic principles of the polymicrobial infection theory.,"The manuscript disputes the exclusive mono-infectious way of thinking, which presumes that for every infection only one pathogen is responsible and sufficient, when infectious vectors, close contact and reduced immunity meet. In situations involving heavily colonized anatomical sites such an approach often ends in insoluble contradictions. Upon critical reflection and evaluation of 20 years research on spatial organization of vaginal microbiota it is apparent, that in some situations, pathogens ",Review,Image-Based Analysis; Niche & Microenvironment,,Infectious Disease,medium,False,False
33004995,The suitability of NONO-TFE3 dual-fusion FISH assay as a diagnostic tool for NONO-TFE3 renal cell carcinoma.,"NONO-TFE3 RCC is a subtype of Xp11.2 translocation renal cell carcinoma (RCC). So far, only a small amount of NONO-TFE3 RCC have been reported owing to lack of effective diagnosis methods. Utilizing the novel dual-fusion fluorescence in situ hybridization (FISH) probe reported here, 5 cases of NONO-TFE3 RCC were identified and were ultimately confirmed by RT-PCR. Histopathology, all 5 cases were consisted by sheets of epithelial cells and papillary architecture. The cytoplasm was abundantly clea",Research,,,Cancer,high,True,False
32910905,The Stress-Like Cancer Cell State Is a Consistent Component of Tumorigenesis.,"Transcriptional profiling of tumors has revealed a stress-like state among the cancer cells with the concerted expression of genes such as fos, jun, and heat-shock proteins, though this has been controversial given possible dissociation-effects associated with single-cell RNA sequencing. Here, we validate the existence of this state using a combination of zebrafish melanoma modeling, spatial transcriptomics, and human samples. We found that the stress-like subpopulation of cancer cells is presen",Research,Spatial Domain Identification; Spatially Variable Genes,,Cancer,medium,True,False
39496775,Effect of fibroblast heterogeneity on prognosis and drug resistance in high-grade serous ovarian cancer.,"Tumor heterogeneity is associated with poor prognosis and drug resistance, leading to therapeutic failure. Here, we used tumor evolution analysis to determine the intra- and intertumoral heterogeneity of high-grade serous ovarian cancer (HGSOC) and analyze the correlation between tumor heterogeneity and prognosis, as well as chemotherapy response, through single-cell and spatial transcriptomic analysis. We collected and curated 28 HGSOC patients' single-cell transcriptomic data from five dataset",Research,Cell-Cell Communication; Niche & Microenvironment; Spatial Integration; Cell-Type Deconvolution,,Cancer,high,False,False
27284969,FISHing for gutta-percha-adhered biofilms in purulent post-treatment apical periodontitis.,"This study investigated the possibility of depicting individual taxa in clinically relevant biofilms using fluorescent in situ hybridization (FISH). Gutta-percha samples were collected from the apical aspect of root canals associated with a chronic apical abscess (test samples, n = 8). Corresponding control samples were obtained from previously filled root canals with apparently normal periapical tissues (n = 3). The transport medium was investigated for detached biofilm fragments using FISH sta",Research,,,Infectious Disease,low,True,False
41265398,Piscis: A loss estimator of the F1 score enables accurate spot detection in fluorescence microscopy images via deep learning.,"Single-molecule RNA fluorescence in situ hybridization (RNA FISH)-based spatial transcriptomics methods have enabled the accurate quantification of gene expression at single-cell resolution by visualizing transcripts as diffraction-limited spots. Although these methods generally scale to large samples, image analysis remains challenging, often requiring manual parameter tuning. We present Piscis, a fully automatic deep learning algorithm for spot detection trained using a loss function, the Smoo",Technology,Image-Based Analysis; Benchmarking & Evaluation,,,high,True,True
31509355,Heterogeneity of p16 immunohistochemistry and increased sensitivity of RNA in situ hybridization in cytology specimens of HPV-related head and neck squamous cell carcinoma.,"Many patients with human papillomavirus (HPV)-related head and neck squamous cell carcinoma (HPV-HNSCC) initially present with cervical lymph node metastases. Although p16 immunohistochemistry (IHC) is the most commonly used surrogate marker for HPV, however criteria in cytologic material are not well established. The objective of this study was to better characterize p16 IHC in cell blocks of metastatic HPV-HNSCC, and to evaluate the performance of HPV RNA in situ hybridization (RNA ISH). p16 I",Research,,,Cancer,high,True,False
40083663,Metal-dependent cell death resistance contribute to lymph node metastasis of oral squamous cell carcinoma.,"Ferroptosis and cuproptosis can be summarized as metal-dependent cell death. This study aimed to explore the expression of metal-dependent cell death resistance (MCDR) characteristics in tumor cells of oral squamous cell carcinoma (OSCC) and to explore its relationship with lymph node metastasis (LNM). By integrating single-cell data of OSCC from public databases, an expression matrix comprising 127,149 cells was constructed. Gene set scores were calculated using the irGSEA package, and GO and K",Research,Cell-Type Deconvolution; Cell-Cell Communication; Spatial Trajectory Inference,,Cancer,high,True,False
41617396,Single-cell spatial transcriptomics uncovers niches that govern response to PD-1/PD-L1 blockade in cutaneous squamous cell carcinoma.,"Neoadjuvant PD-1/PD-L1 blockade yields robust efficacy in advanced cutaneous squamous cell carcinoma (cSCC), yet many patients fail to achieve a complete or major pathologic response. The reasons why some patients experience response but others do not are unclear. We profiled cSCC specimens before, after 1 dose, and after 3-4 doses of PD-1/PD-L1 blockade to uncover resistance mechanisms and predict therapeutic response. In total, 27 patients across three cohorts, including two phase II trials, w",Research,Spatial Domain Identification; Niche & Microenvironment; Spatial Co-Expression,,Dermatology,high,True,False
36090815,Define and visualize pathological architectures of human tissues from spatially resolved transcriptomics using deep learning.,"Spatially resolved transcriptomics provides a new way to define spatial contexts and understand the pathogenesis of complex human diseases. Although some computational frameworks can characterize spatial context via various clustering methods, the detailed spatial architectures and functional zonation often cannot be revealed and localized due to the limited capacities of associating spatial information. We present RESEPT, a deep-learning framework for characterizing and visualizing tissue archi",Technology,Spatial Domain Identification; Image-Based Analysis,Visium,Neuroscience,medium,True,False
39643161,Cell type census in cerebral cortex reveals species-specific brain function and connectivity.,"The cerebral cortex contains a diverse array of functional regions that are conserved across species, such as primary somatosensory and primary visual cortex. However, despite this conservation, these regions exhibit different connectivity and functions in various species. It is hypothesized that these differences arise from distinct cell types within the conserved regions. To uncover these species-specific differences, investigating gene expression at the cellular level can reveal unique cell t",Review,,,Neuroscience,high,False,False
36711919,Spatial transcriptomics reveals a conserved segment polarity program that governs muscle patterning in <i>Nematostella vectensis</i>.,"During early animal evolution, the emergence of axially-polarized segments was central to the diversification of complex bilaterian body plans. Nevertheless, precisely how and when segment polarity pathways arose remains obscure. Here we demonstrate the molecular basis for segment polarization in developing larvae of the pre-bilaterian sea anemone <i>Nematostella vectensis</i> . Utilizing spatial transcriptomics, we first constructed a 3-D gene expression atlas of developing larval segments. Cap",Research,Spatial Domain Identification; Spatially Variable Genes; 3D Reconstruction,,Developmental Biology,medium,True,False
33659301,Isolation of Tumor Cells Based on Their Distance from Blood Vessels.,"Differential exposure of tumor cells to microenvironmental cues greatly impacts cell phenotypes, raising a need for position based sorting of tumor cells amenable to multiple OMICs and functional analyses. One such key determinant of tumor heterogeneity in solid tumors is its vasculature. Proximity to blood vessels (BVs) profoundly affects tumor cell phenotypes due to differential availability of oxygen, gradient exposure to blood-borne substances and inputs by angiocrine factors. To unravel the",Technology,Spatial Domain Identification; Niche & Microenvironment,,Cancer,medium,True,False
35390105,Spatial transcriptomics reveals antiparasitic targets associated with essential behaviors in the human parasite Brugia malayi.,Lymphatic filariasis (LF) is a chronic debilitating neglected tropical disease (NTD) caused by mosquito-transmitted nematodes that afflicts over 60 million people. Control of LF relies on routine mass drug administration with antiparasitics that clear circulating larval parasites but are ineffective against adults. The development of effective adulticides is hampered by a poor understanding of the processes and tissues driving parasite survival in the host. The adult filariae head region contain,Research,Spatial Domain Identification; Spatially Variable Genes,,Infectious Disease,medium,True,False
40473310,Multi-omic spatial profiling reveals the unique SARS-CoV-2 lung microenvironment and collagen VI as a predictive biomarker in severe COVID-19.,"While coronavirus disease 2019 (COVID-19) is primarily a respiratory infection, few studies have characterised the immune response to COVID-19 in lung tissue. We sought to understand the pathogenic role of microenvironmental interactions and the extracellular matrix in post-mortem COVID-19 lung using an integrative multi-omic approach. Post-mortem formalin-fixed paraffin-embedded lung tissue from fatal COVID-19 and nonrespiratory death control lung underwent multi-omic evaluation by Quantseq Bul",Research,Niche & Microenvironment; Multi-Omics Integration,GeoMx,Lung & Respiratory,high,True,False
41666644,MYB: A potential therapeutic target in triple-negative breast cancer based on the PI3K/AKT signaling pathway.,"Compared to non-triple-negative breast cancer (Non-TNBC), triple-negative breast cancer (TNBC) exhibits significantly poorer prognosis. Previous research has confirmed that the PI3K/AKT pathway is closely associated with prognosis in breast cancer patients. Yet, it remains unclear whether this pathway is implicated in the prognostic differences observed between TNBC and Non-TNBC. After downloading raw transcriptomic datasets from the GEO database and removing batch effects, we performed an integ",Research,Cell-Type Deconvolution; Niche & Microenvironment,,Cancer,medium,False,False
37900283,An update on methods for detection of prognostic and predictive biomarkers in melanoma.,"The approval of immunotherapy for stage II-IV melanoma has underscored the need for improved immune-based predictive and prognostic biomarkers. For resectable stage II-III patients, adjuvant immunotherapy has proven clinical benefit, yet many patients experience significant adverse events and may not require therapy. In the metastatic setting, single agent immunotherapy cures many patients but, in some cases, more intensive combination therapies against specific molecular targets are required. T",Review,Image-Based Analysis,,Cancer,high,False,False
28800016,FISH Analysis of TOP2A and HER-2 Aberrations in Female Breast Carcinoma on Archived Material: Egyptian NCI Experience.,"HER-2 and TOP2A genes are considered of great importance in breast cancer. Their copy number variability has been proposed to be a marker for the degree of chromosomal instability. Owing to the close proximity of TOP2A gene to HER-2 gene chromosome 17, TOP2A status is believed to affect therapeutic plan. The percentage of TOP2A aberrations is greatly variable among different studies. Is to investigate the relation between TOP2A and HER-2 gene amplification using fluorescence in situ hybridizatio",Research,,,Cancer,high,True,False
39400332,Xenomake: a pipeline for processing and sorting xenograft reads from spatial transcriptomic experiments.,"Xenograft models are attractive models that mimic human tumor biology and permit one to perturb the tumor microenvironment and study its drug response. Spatially resolved transcriptomics (SRT) provides a powerful way to study the organization of xenograft models, but currently there is a lack of specialized pipeline for processing xenograft reads originated from SRT experiments. Xenomake is a standalone pipeline for the automated handling of spatial xenograft reads. Xenomake handles read process",Technology,Spatial Preprocessing,,Cancer,high,False,True
41610921,Immunotherapy-driven remodeling of the tumor immune microenvironment: Spatiotemporal heterogeneity and multidimensional dynamics.,"Immunotherapy, by activating the patient's immune system to eliminate tumors, has become a revolutionary strategy in cancer treatment. Among immunotherapy, immune checkpoint blockade (ICB) and adoptive cell therapy (ACT) have demonstrated significant efficacy in various solid tumors and hematological malignancies. However, problems such as insufficient clinical response rate, acquired drug resistance, and immune-related adverse reactions have limited its wide application, which is closely relate",Review,,,Cancer,high,False,False
30168245,A triple-probe FISH screening strategy for risk-stratified therapy of acute lymphoblastic leukaemia in low-resource settings.,"Karyotyping along with a 3-probe fluorescence in situ hybridization (FISH) strategy was used to risk stratify therapy in 303 children with B-cell precursor acute lymphoblastic leukaemia. Of the 166 patients risk stratified, karyotype identified 91 (55%). FISH identified all karyotypes accurately, with the exception of hypodiploidy, and risk stratified an additional 75 patients. The frequency of ETV6-RUNX1 is lower and high hyperdiploidy, higher than reported in the west. An adapted 3-probe FISH ",Research,,,Cancer,low,True,False
39110523,Computational Strategies and Algorithms for Inferring Cellular Composition of Spatial Transcriptomics Data.,"Spatial transcriptomics technology has been an essential and powerful method for delineating tissue architecture at the molecular level. However, due to the limitations of the current spatial techniques, the cellular information cannot be directly measured but instead spatial spots typically varying from a diameter of 0.2 to 100 µm are characterized. Therefore, it is vital to apply computational strategies for inferring the cellular composition within each spatial spot. The main objective of thi",Review,Cell-Type Deconvolution,,,high,False,False
40804270,Single cell spatial transcriptomics links Wnt signaling disruption to extracellular matrix development in a cleft palate model.,"Despite advances in understanding the morphological disruptions that lead to defects in palate formation, the precise perturbations within the signaling microenvironment of palatal clefts remain poorly understood. To explore in greater depth the genomic basis of palatal clefts, we designed and implemented the first single cell spatial RNA-sequencing study in a cleft palate model, utilizing the Pax9<sup>-/-</sup> murine model at multiple developmental timepoints, which exhibits a consistent cleft",Research,Spatially Variable Genes; Niche & Microenvironment,Visium; Xenium,Developmental Biology,high,True,False
31562206,Multiplex fluorescence in situ hybridisation to detect anaplastic lymphoma kinase and ROS proto-oncogene 1 receptor tyrosine kinase rearrangements in lung cancer cytological samples.,"Several predictive biomarkers of response to specific inhibitors have become mandatory for the therapeutic choice in non-small-cell lung cancer (NSCLC). In most lung cancer patients, the biological materials available to morphological and molecular diagnosis are exclusively cytological samples and minimum tumour wastage is necessary. Multiplex fluorescence in situ hybridisation (mFISH) to detect simultaneously <i>ALK-</i>rearrangement and <i>ROS1-</i>rearrangement on a single slide could be usef",Research,,,Cancer,high,True,False
39611685,Spatiotemporal analysis of lung immune dynamics in lethal <i>Coccidioides posadasii</i> infection.,"Coccidioidomycosis, or Valley fever, is a lung disease caused by inhalation of <i>Coccidioides</i> fungi, prevalent in the Southwestern United States, Mexico, and parts of Central and South America. Annually, the United States reports 10,000-20,000 cases, although those numbers are expected to increase as climate change expands the fungal geographic range. While 60% of infections are asymptomatic, 40% symptomatic infections are often misdiagnosed due to similarities with bronchitis or pneumonia.",Research,Cell-Type Deconvolution; Cell-Cell Communication,,Infectious Disease,medium,True,False
40563563,Spatial Transcriptomics in Lung Cancer and Pulmonary Diseases: A Comprehensive Review.,"Recent advancements in spatial transcriptomics (ST) have revolutionized our understanding of the lung's cellular organization and pathological alterations. By preserving the spatial distribution of gene expression, ST reveals localized immune niches, stromal-epithelial interactions, and disease-associated transcriptional ""hotspots"" that cannot be captured by conventional sequencing methods alone. In lung cancer, ST-based investigations have delineated distinct tumor microenvironments between tum",Review,Cell-Cell Communication; Niche & Microenvironment; Spatially Variable Genes,,Lung & Respiratory,high,False,False
41001552,ZipAEr: A compressive convolutional autoencoder for high-dimensional spatial omics data at subcellular resolution.,"Recent advances in spatial transcriptomics have produced rich, high-throughput datasets, but their biological interpretation remains challenging due to analytical complexity. We present ZipAEr, a convolutional autoencoder tailored to extract informative latent features from spatial omics data. Unlike traditional methods that reduce data at the cell level, ZipAEr operates at the transcript level, preserving both subcellular and extracellular spatial context. Conventional autoencoders, built for i",Technology,Spatial Preprocessing,,,medium,False,True
